,Engine Capacity (liters),Cylinders,Drive Type,Fuel Tank Capacity (liters),Fuel Economy (L/100 Km),Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Top Speed (Km/h),Seating Capacity,Acceleration 0-100 Km/h (sec),Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),name,price,currency
0,1.2,3,Front Wheel Drive,42,4.9,Petrol,76,100,Automatic,170,5 Seater,14.0,4.245,1.670,1.515,2.550,450,Mitsubishi Attrage 2021 1.2 GLX (Base),"34,099",SAR
1,1.2,3,Front Wheel Drive,42,4.9,Petrol,76,100,Automatic,170,5 Seater,14.0,4.245,1.670,1.515,2.550,450,Mitsubishi Attrage 2021 1.2 GLX (Base),"34,099",SAR
2,1.4,4,Front Wheel Drive,45,6.3,Petrol,75,118,Manual,156,2 Seater,16.0,3.864,1.716,1.721,2.513,2800,Fiat Fiorino 2021 1.4L Standard,"41,250",SAR
3,1.6,4,Front Wheel Drive,50,6.4,Petrol,102,145,Automatic,180,5 Seater,11.0,4.354,1.994,1.529,2.635,510,Renault Symbol 2021 1.6L PE,"44,930",SAR
4,1.5,4,Front Wheel Drive,48,5.8,Petrol,112,150,Automatic,170,5 Seater,10.9,4.314,1.809,1.624,2.585,448,MG ZS 2021 1.5L STD,"57,787",SAR
5,1.4,4,Front Wheel Drive,35,5.1,Petrol,98,127,Automatic,170,5 Seater,12.0,3.636,1.597,1.483,2.385,314,Chevrolet Spark 2021 1.4L LS,"53,790",SAR
6,1.6,4,Front Wheel Drive,50,6.4,Petrol,102,145,Automatic,180,5 Seater,11.0,4.354,1.994,1.529,2.635,510,Renault Symbol 2021 1.6L LE,"54,780",SAR
7,1.4,4,Front Wheel Drive,45,6.3,Petrol,100,132,Automatic,183,5 Seater,13.4,4.440,1.729,1.475,2.600,396,Hyundai Accent 2021 1.4L Base,"53,460",SAR
8,1.4,4,Front Wheel Drive,45,6.3,Petrol,100,132,Automatic,183,5 Seater,13.4,4.440,1.729,1.475,2.600,396,Hyundai Accent 2021 1.4L Mid,"55,000",SAR
9,1.5,4,Front Wheel Drive,48,5.8,Petrol,112,150,Automatic,170,5 Seater,10.9,4.314,1.809,1.624,2.585,448,MG ZS 2021 1.5L COM,"61,237",SAR
10,1.3,4,Front Wheel Drive,42,5.3,Petrol,98,125,Manual,165,5 Seater,11.7,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.3L STD (M/T),"52,258",SAR
11,1.6,4,Front Wheel Drive,45,6.4,Petrol,123,151,Automatic,193,5 Seater,11.3,4.440,1.729,1.475,2.600,396,Hyundai Accent 2021 1.6L Base,"53,350",SAR
12,1.4,4,Front Wheel Drive,35,5.1,Petrol,98,127,Automatic,170,5 Seater,12.0,3.636,1.597,1.483,2.385,314,Chevrolet Spark 2021 1.4L LT,"64,900",SAR
13,1.8,4,Front Wheel Drive,60,7.4,Petrol,130,170,Automatic,185,5 Seater,10.3,4.440,1.833,1.560,2.700,330,Geely GS Sport 2021 1.8L Elegance (Full Option),"54,340",SAR
14,1.5,4,Front Wheel Drive,42,5.1,Petrol,105,140,CVT,175,5 Seater,11.0,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.5L Y (CVT),"57,039",SAR
15,1.5,4,Front Wheel Drive,42,5.1,Petrol,105,140,CVT,175,5 Seater,11.0,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.5L Y Plus (CVT) ,"59,089",SAR
16,1.5,4,Front Wheel Drive,42,5.1,Petrol,105,140,CVT,175,5 Seater,11.0,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.5L Y Plus (CVT) ,"59,089",SAR
17,1.2,4,Front Wheel Drive,35,6.0,Petrol,84,122,Automatic,161,5 Seater,13.7,3.595,1.595,1.495,2.400,255,Kia Picanto 2021 1.2L Base,"42,620",SAR
18,1.5,4,Front Wheel Drive,48,5.8,Petrol,112,150,Automatic,170,5 Seater,10.9,4.314,1.809,1.624,2.585,448,MG ZS 2021 1.5L LUX,"68,597",SAR
19,1.3,3,Front Wheel Drive,48,5.8,Petrol,160,230,CVT,185,5 Seater,8.0,4.314,1.809,1.624,2.585,448,MG ZS 2021 1.3T ZST,"73,887",SAR
20,1.5,4,Front Wheel Drive,55,6.8,Petrol,169,250,Automatic,170,5 Seater,9.8,4.545,1.855,1.719,2.700,595,MG RX5 2021 1.5T Luxury,"80,787",SAR
21,1.5,4,Front Wheel Drive,55,6.8,Petrol,169,250,Automatic,170,5 Seater,9.8,4.545,1.855,1.719,2.700,595,MG RX5 2021 1.5T Standard,"66,412",SAR
22,2.0,4,All Wheel Drive,50,6.9,Petrol,135,195,Automatic,178,5 Seater,11.5,4.341,1.804,1.693,2.676,414,Renault Duster 2021 2.0L PE (4x4),"59,290",SAR
23,1.5,4,Front Wheel Drive,40,7.5,Petrol,118,145,CVT,190,5 Seater,11.5,4.455,1.695,1.475,2.600,510,Honda City 2021 1.5L DX,"61,793",SAR
24,2.4,4,Rear Wheel Drive,75,10.0,Petrol,128,202,Manual,169,3 Seater,11.0,5.300,1.815,1.780,3.000,Null,Mitsubishi L200 2021 2.4L Single Cab GL (2WD),"64,679",SAR
25,1.5,4,Front Wheel Drive,42,6.1,Petrol,105,140,CVT,180,5 Seater,11.2,4.115,1.700,1.475,2.500,286,Toyota Yaris 2021 1.5L S (CVT),"59,202",SAR
26,1.6,4,Front Wheel Drive,50,7.0,Petrol,127,157,Automatic,195,5 Seater,11.6,4.570,1.780,1.440,2.700,485,Hyundai Elantra 2021 1.6L GL,"66,165",SAR
27,1.5,4,Front Wheel Drive,55,6.8,Petrol,169,250,Automatic,170,5 Seater,9.8,4.545,1.855,1.719,2.700,595,MG RX5 2021 1.5T COM,"75,037",SAR
28,1.5,4,Front Wheel Drive,42,5.1,Petrol,105,140,CVT,175,5 Seater,11.0,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.5L YX (CVT),"56,445",SAR
29,1.2,4,Front Wheel Drive,35,6.0,Petrol,84,122,Automatic,161,5 Seater,13.7,3.595,1.595,1.495,2.400,255,Kia Picanto 2021 1.2L Top,"59,252",SAR
30,1.4,N/A,Front Wheel Drive,43,6.3,Petrol,100,135,Automatic,183,5 Seater,12.5,4.365,1.720,1.455,2.570,288,Kia Rio Sedan 2021 1.4L MPI,"54,890",SAR
31,1.4,N/A,Front Wheel Drive,43,6.3,Petrol,100,135,Automatic,183,5 Seater,12.5,4.365,1.720,1.455,2.570,288,Kia Rio Sedan 2021 1.4L MPI,"54,890",SAR
32,1.5,4,Front Wheel Drive,50,6.2,Petrol,110,145,Automatic,170,5 Seater,11.0,4.533,1.705,1.490,2.600,430,BYD F3 2021 1.5L GS-i,"54,819",SAR
33,1.6,4,Front Wheel Drive,45,6.4,Petrol,123,151,Automatic,193,5 Seater,11.3,4.440,1.729,1.475,2.600,396,Hyundai Accent 2021 1.6L High,"60,500",SAR
34,1.5,4,Front Wheel Drive,42,5.9,Petrol,110,136,Automatic,175,5 Seater,11.5,3.796,1.686,1.527,2.489,261,Ford Figo 2021 1.5L Ambiente H/B,"64,900",SAR
35,1.5,4,Rear Wheel Drive,45,8.0,Petrol,103,135,Automatic,175,7 Seater,13.0,4.435,1.695,1.705,2.685,213,Toyota Rush 2021 1.5L STD (7-Seater),"712,790",SAR
36,2.0,N/A,Front Wheel Drive,50,7.4,Petrol,150,192,Automatic,205,5 Seater,9.5,4.569,1.801,1.435,2.700,408,Hyundai Elantra 2021 2.0L Base,"66,990",SAR
37,1.6,4,Front Wheel Drive,55,8.4,Petrol,121,151,Automatic,169,5 Seater,12.1,4.270,1.780,1.665,2.590,430,Hyundai Creta 2021 1.6L Basic,"66,990",SAR
38,1.2,4,Front Wheel Drive,37,6.0,Petrol,82,113,Automatic,170,5 Seater,13.2,3.995,1.735,1.515,2.450,378,Suzuki Dzire 2021 1.2L GLX,"49,286",SAR
39,1.6,4,Front Wheel Drive,50,6.6,Petrol,115,150,Automatic,180,5 Seater,12.1,4.445,1.748,1.466,2.652,506,Peugeot 301 2021 1.6L Allure,"67,100",SAR
40,1.6,4,Front Wheel Drive,41,6.5,Petrol,118,149,Automatic,180,5 Seater,11.5,4.295,1.960,1.590,2.620,432,Nissan Kicks 2021 1.6 SV,"75,064",SAR
41,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS Smart,"76,890",SAR
42,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS,"72,875",SAR
43,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS Comfort (Red Pack),"84,590",SAR
44,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS Comfort (Lime Pack) ,"84,590",SAR
45,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS Premium Sunroof,"95,700",SAR
46,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS Premium Sunroof,"95,700",SAR
47,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS Comfort ,"84,590",SAR
48,2.0,4,Front Wheel Drive,50,7.5,Petrol,150,180,Automatic,194,5 Seater,10,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 2.0L GLS Premium,"90,090",SAR
49,1.2,4,Front Wheel Drive,37,6.0,Petrol,82,113,Automatic,170,5 Seater,13.2,3.995,1.735,1.515,2.450,378,Suzuki Dzire 2021 1.2L GL,"44,446",SAR
50,1.5,4,Front Wheel Drive,45,5.7,Petrol,103,138,Automatic,170,7 Seater,13.5,4.265,1.695,1.685,2.740,135,Suzuki Ertiga 2021 1.5L GL,"58,306",SAR
51,1.5,4,Front Wheel Drive,42,5.9,Petrol,110,136,Automatic,175,5 Seater,11.5,3.796,1.686,1.527,2.489,261,Ford Figo 2021 1.5L Trend H/B,"69,190",SAR
52,1.4,4,Front Wheel Drive,35,6.3,Petrol,100,131,Automatic,182,4 Seater,10.7,3.546,1.627,1.488,2.300,185,Fiat 500 2021 1.4L Hatch POP,"70,400",SAR
53,1.5,4,Front Wheel Drive,40,7.5,Petrol,118,145,CVT,190,5 Seater,11.5,4.455,1.695,1.475,2.600,510,Honda City 2021 1.5L EX,"74,498",SAR
54,2.0,4,Front Wheel Drive,63,8.0,Petrol,150,197,Automatic,193,5 Seater,11.3,4.355,1.810,1.625,2.670,358,Mitsubishi ASX 2021 2.0L GLX (2WD),"75,075",SAR
55,2.4,4,Rear Wheel Drive,80,7.5,Diesel,147,342,Manual,165,3 Seater,13.1,5.335,1.815,1.815,3.090,900,Toyota Hilux 2021 2.4L GL M/T Diesel (4x2),"84,640",SAR
56,1.6,4,Front Wheel Drive,52,6.8,Petrol,123,160,Automatic,180,5 Seater,15.0,4.160,1.810,1.670,2.560,348,Changan CS35 2021 1.6L Standard (2WD),"56,799",SAR
57,2.4,4,Front Wheel Drive,60,9.3,Petrol,155,225,Automatic,175,5 Seater,11.5,4.519 ,1.831 ,1.694,2.670,580,Geely Emgrand X7 Sport 2021 2.4L GL (FWD),"66,990",SAR
58,1.8,4,Front Wheel Drive,53,6.8,Petrol,140,175,Automatic,180,5 Seater,10.6,4.257,1.775,1.646,2.555,530,Chevrolet Trax 2021 1.8L LT FWD,"80,300",SAR
59,1.8,4,Front Wheel Drive,53,6.8,Petrol,140,175,Automatic,180,5 Seater,10.6,4.257,1.775,1.646,2.555,530,Chevrolet Trax 2021 1.8L LT FWD,"80,300",SAR
60,2.0,4,All Wheel Drive,55,8.1,Petrol,220,350,Automatic,180,5 Seater,8.2,4.545,1.855,1.719,2.700,595,MG RX5 2021 2.0T LUX (AWD),"88,262",SAR
61,1.4,4,Front Wheel Drive,37,4.4,Petrol,91,130,Automatic,170,5 Seater,11.6,3.995,1.745,1.470,2.520,355,Suzuki Baleno 2021 1.4L GL,"57,200",SAR
62,1.6,4,Front Wheel Drive,45,5.9,Petrol,110,155,Automatic,190,5 Seater,11.0,3.992,1.732,1.467,2.470,315,Skoda Fabia 2021 1.6L Ambition ,"57,173",SAR
63,2.0,4,Front Wheel Drive,48,6.5,Petrol,148,192,Automatic,190,5 Seater,8.3,4.275,1.765,1.535,2.570,240,Mazda CX 3 2021 2.0L GS (FWD),"67,568",SAR
64,1.5,4,Front Wheel Drive,63,7.0,Petrol,147,250,Automatic,200,5 Seater,9.8,4.405,1.805,1.685,2.670,378,Mitsubishi Eclipse Cross 2021 1.5T GLX,"85,470",SAR
65,1.6,4,Front Wheel Drive,62,7.4,Petrol,132,161,Automatic,170,5 Seater,12.1,4.475,1.850,1.655,2.670,513,Hyundai Tucson 2021 1.6L GDI TLe Basic (FWD),"86,295",SAR
66,1.6,4,Front Wheel Drive,62,7.4,Petrol,132,161,Automatic,170,5 Seater,12.1,4.475,1.850,1.655,2.670,513,Hyundai Tucson 2021 1.6L GDI Basic Panorama (FWD) ,"88,990",SAR
67,1.6,4,Front Wheel Drive,55,8.4,Petrol,121,151,Automatic,169,5 Seater,12.1,4.270,1.780,1.665,2.590,430,Hyundai Creta 2021 1.6L Mid,"79,750",SAR
68,1.6,4,Front Wheel Drive,41,6.5,Petrol,118,149,Automatic,180,5 Seater,11.5,4.295,1.960,1.590,2.620,432,Nissan Kicks 2021 1.6 SL,"90,079",SAR
69,2.0,4,Front Wheel Drive,50,7.4,Petrol,150,192,Automatic,205,5 Seater,9.5,4.569,1.801,1.435,2.700,408,Hyundai Elantra 2021 2.0L GLS,"74,690",SAR
70,2.0,N/A,Front Wheel Drive,50,7.4,Petrol,150,192,Automatic,205,5 Seater,9.5,4.569,1.801,1.435,2.700,408,Hyundai Elantra 2021 2.0L Standard ,"64,790",SAR
71,2.0,N/A,Front Wheel Drive,50,7.4,Petrol,150,192,Automatic,205,5 Seater,9.5,4.569,1.801,1.435,2.700,408,Hyundai Elantra 2021 2.0L GL,"66,990",SAR
72,1.5,4,Front Wheel Drive,45,5.7,Petrol,103,138,Automatic,170,7 Seater,13.5,4.265,1.695,1.685,2.740,135,Suzuki Ertiga 2021 1.5L GLX,"63,800",SAR
73,2.5,4,Front Wheel Drive,60,6.4,Petrol,169,233,CVT,170,5 Seater,10.0,4.690,1.830,1.740,2.705,550,Nissan X-Trail 2021 S 2WD (5-Seater),"86,625",SAR
74,2.5,4,Front Wheel Drive,60,6.4,Petrol,169,233,CVT,170,5 Seater,10.0,4.690,1.830,1.740,2.705,550,Nissan X-Trail 2021 S 2WD (5-Seater),"86,625",SAR
75,2.5,4,Front Wheel Drive,60,6.4,Petrol,169,233,CVT,170,7 Seater,10.0,4.690,1.830,1.740,2.705,550,Nissan X-Trail 2021 S 2WD (7-Seater),"88,072",SAR
76,1.4,4,Front Wheel Drive,37,4.4,Petrol,91,130,Automatic,170,5 Seater,11.6,3.995,1.745,1.470,2.520,355,Suzuki Baleno 2021 1.4L GLX,"62,926",SAR
77,2.4,4,Rear Wheel Drive,80,7.5,Diesel,147,342,Manual,165,6 Seater,13.1,5.335,1.815,1.815,3.090,900,Toyota Hilux 2021 2.4L GL Double Cab DSL M/T (4x2),"95,795",SAR
78,1.6,4,Front Wheel Drive,47,5.4,Petrol,123,151,Automatic,200,5 Seater,11.6,4.630,1.799,1.416,2.700,525,Honda Civic 2021 1.6L LX Sport,"92,285",SAR
79,1.6,4,Front Wheel Drive,58,7.8,Petrol,107,150,Automatic,162,5 Seater,10.5,4.695,1.795,1.460,2.725,435,FAW Besturn B50 2021 1.6L Elegant,"56,293",SAR
80,2.4,4,All Wheel Drive,60,9.5,Petrol,167,222,Automatic,198,7 Seater,10.2,4.695,1.810,1.680,2.670,291,Mitsubishi Outlander 2021 2.4L GLX (7-Seater) Mid,"97,625",SAR
81,2.4,4,All Wheel Drive,60,9.5,Petrol,167,222,Automatic,198,7 Seater,10.2,4.695,1.810,1.680,2.670,291,Mitsubishi Outlander 2021 2.4L GLX (7-Seater) Standard ,"88,935",SAR
82,1.4,N/A,Front Wheel Drive,35,6.3,Petrol,100,131,Automatic,182,4 Seater,10.7,3.546,1.627,1.488,2.300,185,Fiat 500 2021 1.4L Hatch Lounge ,"86,900",SAR
83,2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,5 Seater,11.0,4.690,1.830,1.740,2.705,550,Nissan X-Trail 2021 S AWD (5-Seater),"91,476",SAR
84,2.0,4,Front Wheel Drive,62,8.0,Petrol,153,192,Automatic,170,5 Seater,11.0,4.480,1.850,1.650,2.670,515,Hyundai Tucson 2021 2.0L Standard (FWD) ,"87,175",SAR
85,1.6,4,Front Wheel Drive,55,7.1,Petrol,121,151,Automatic,169,5 Seater,12.1,4.270,1.780,1.665,2.590,402,Hyundai Creta 2021 1.6L Top,"87,450",SAR
86,1.4,4,Front Wheel Drive,48,5.7,Petrol,140,230,Automatic,190,5 Seater,9.8,4.248,1.796,1.600,2.570,245,Fiat 500X 2021 1.4T City Cross,"76,115",SAR
87,2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,7 Seater,11.0,4.690,1.830,1.740,2.705,135,Nissan X-Trail 2021 S AWD (7-Seater),"88,440",SAR
88,2.4,N/A,Rear Wheel Drive,75,12.2,Petrol,175,228,Manual,182,3 Seater,14.5,5.150,1.920,1.935,3.200,5190,Hyundai H1 2021 3-Seater Panel Van M/T,"88,990",SAR
89,2.7,4,Rear Wheel Drive,80,11.1,Petrol,164,245,Manual,165,3 Seater,11.5,5.330,1.800,1.700,3.085,900,Toyota Hilux 2021 2.7L GLX M/T (4x2) Short,"89,010",SAR
90,2.7,4,Rear Wheel Drive,80,11.1,Petrol,164,245,Manual,165,3 Seater,11.5,5.330,1.800,1.700,3.085,900,Toyota Hilux 2021 2.7L GLX M/T (4x2) Short,"89,010",SAR
91,1.6,N/A,Front Wheel Drive,43,6.3,Petrol,123,150,Automatic,183,5 Seater,12.5,4.365,1.720,1.455,2.570,288,Kia Rio Sedan 2021 1.6L MPI,"62,590",SAR
92,2.4,4,Rear Wheel Drive,75,10.0,Petrol,128,202,Manual,169,6 Seater,11.0,5.300,1.815,1.780,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GL (2WD),"71,500",SAR
93,2.4,4,All Wheel Drive,75,8.5,Petrol,128,202,Manual,167,5 Seater,14.5,5.300,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GLX (4WD),"84,150",SAR
94,1.5,N/A,Front Wheel Drive,52,6.8,Petrol,120,151,Automatic,170,5 Seater,12.3,3.999,1.765,1.708,2.520,346,Ford EcoSport 2021 1.5 Ambiente,"90,750",SAR
95,1.6,4,Front Wheel Drive,52,6.1,Petrol,113,154,Automatic,180,5 Seater,10.4,4.615,1.760,1.495,2.700,510,Nissan Sentra 2021 1.6L S,"69,289",SAR
96,2.4,4,Rear Wheel Drive,75,9.5,Petrol,136,200,Manual,160,2 Seater,15.5,5.310,1.800,1.715,3.105,Null,Foton Tunland 2021 2.4L Single Cabin (4X2) ,"46,200",SAR
97,2.4,4,Rear Wheel Drive,75,9.5,Petrol,136,200,Manual,160,5 Seater,15.5,5.310,1.800,1.745,3.105,Null,Foton Tunland 2021 2.4L Double Cabin (4X2),"51,700",SAR
98,2.4,4,Front Wheel Drive,60,9.8,Petrol,155,225,Automatic,175,5 Seater,11.5,4.519 ,1.831 ,1.694,2.  670,580,Geely Emgrand X7 Sport 2021 2.4L GT (FWD),"73,343",SAR
99,2.4,4,All Wheel Drive,60,9.8,Petrol,155,225,Automatic,170,5 Seater,11.0,4.519 ,1.831 ,1.694,2.670,580,Geely Emgrand X7 Sport 2021 2.4L GW (AWD),"92,400",SAR
100,2.5,4,All Wheel Drive,75,8.5,Diesel,136,324,Manual,167,5 Seater,14.5,5.205,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.5L Double Cab GLS (4WD),"93,500",SAR
101,2.5,4,Rear Wheel Drive,75,8.5,Diesel,136,324,Manual,167,5 Seater,14.5,5.300,1.815,1.780,3.000,Null,Mitsubishi L200 2021 2.5L Single Cab GL (2WD) ,"68,200",SAR
102,2.4,4,Rear Wheel Drive,75,8.5,Diesel,136,324,Manual,167,5 Seater,14.5,5.205,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GLX Diesel (4WD),"88,935",SAR
103,2.4,4,Front Wheel Drive,48,8.5,Petrol,180,232,Automatic,175,5 Seater,8.5,4.236,1.805,1.667,2.570,351,Jeep Renegade 2021 2.4L Sport (4x2),"69,190",SAR
104,1.4,N/A,Front Wheel Drive,35,5.8,Petrol,100,131,Automatic,182,4 Seater,11.0,3.546,1.627,1.488,2.300,185,Fiat 500 2021 Convertible 1.4L Pop,"94,490",SAR
105,1.4,N/A,Front Wheel Drive,35,5.8,Petrol,100,131,Automatic,182,4 Seater,11.0,3.546,1.627,1.488,2.300,185,Fiat 500 2021 Convertible 1.4L Pop,"94,490",SAR
106,2.5,4,Front Wheel Drive,60,6.9,Petrol,178,231,Automatic,195,5 Seater,9.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 2.5L LE STD (178 HP),"95,406",SAR
107,2.0,4,All Wheel Drive,62,8.7,Petrol,153,192,Automatic,170,5 Seater,11.5,4.480,1.850,1.655,2.670,515,Hyundai Tucson 2021 2.0L (AWD) ,"87,890",SAR
108,1.6,4,Front Wheel Drive,50,6.6,Petrol,115,156,Automatic,180,5 Seater,13.2,4.632,1.814,1.443,2.711,503,Renault Megane 2021 1.6L PE,"57,635",SAR
109,2.0,4,Front Wheel Drive,50,7.7,Petrol,140,193,Automatic,209,5 Seater,9.9,4.632,1.814,1.443,2.711,503,Renault Megane 2021 2.0L PE,"69,185",SAR
110,2.4,4,Front Wheel Drive,75,10.2,Petrol,140,210,Manual,160,2 Seater,11.0,5.168,1.980,1.928,3.198,4410,Maxus G10 Cargo 2021 2.4L Cargo Van,"73,700",SAR
111,1.5,4,Front Wheel Drive,63,7.0,Petrol,147,250,Automatic,200,5 Seater,9.8,4.405,1.805,1.685,2.670,378,Mitsubishi Eclipse Cross 2021 1.5T GLS (Full Option),"95,700",SAR
112,1.8,4,All Wheel Drive,53,7.4,Petrol,140,175,Automatic,180,5 Seater,11.1,4.257,1.775,1.646,2.555,530,Chevrolet Trax 2021 1.8L Premier AWD,"96,250",SAR
113,2.5,4,Front Wheel Drive,60,6.9,Petrol,205,249,Automatic,195,5 Seater,8.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 2.5L LE (204 HP),"97,798",SAR
114,1.8,4,Front Wheel Drive,52,6.9,Petrol,130,174,Automatic,185,5 Seater,9.7,4.615,1.760,1.495,2.700,510,Nissan Sentra 2021 1.8L S,"97,350",SAR
115,2.0,4,All Wheel Drive,55,9.0,Petrol,170,207,CVT,200,5 Seater,9.5,4.600 ,1.855 ,1.685 ,2.690 ,1085,Toyota Rav4 2021 2.0L LE AWD,"101,896",SAR
116,2.0,4,All Wheel Drive,55,9.0,Petrol,170,207,CVT,200,5 Seater,9.5,4.600 ,1.855 ,1.685 ,2.690 ,1085,Toyota Rav4 2021 2.0L XLE AWD ,"117,266",SAR
117,1.5,4,Front Wheel Drive,56,6.7,Petrol,170,275,Automatic,190,5 Seater,9.4,4.650,1.844,1.661,2.725,846,Chevrolet Equinox 2021 1.5T LS (FWD),"90,899",SAR
118,2.4,N/A,Rear Wheel Drive,75,14.5,Petrol,175,228,Automatic,182,9 Seater,17.0,5.150,1.920,1.925,3.200,Null,Hyundai H1 2021 9-Seater Wagon A/T Base,"98,450",SAR
119,2.4,N/A,Rear Wheel Drive,75,14.5,Petrol,175,228,Automatic,182,9 Seater,17.0,5.150,1.920,1.925,3.200,Null,Hyundai H1 2021 9-Seater Wagon A/T Mid,"98,450",SAR
120,2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,7 Seater,11.0,4.690,1.830,1.740,2.705,135,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),"104,412",SAR
121,2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,7 Seater,11.0,4.690,1.830,1.740,2.705,135,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),"104,412",SAR
122,2.4,4,All Wheel Drive,80,6.8,Diesel,147,400,Manual,175,6 Seater,13.2,5.335,1.815,1.815,3.090,900,Toyota Hilux 2021 2.4L GL 2 Double Cab DSL M/T (4x4),"116,035",SAR
123,1.6,4,All Wheel Drive,50,7.0,Petrol,175,265,Automatic,205,5 Seater,7.9,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 1.6L T-GDI GLS Premium (AWD) ,"101,860",SAR
124,1.6,4,All Wheel Drive,50,7.0,Petrol,175,265,Automatic,205,5 Seater,7.9,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 1.6L T-GDI GLS Premium Sunroof (AWD) ,"102,190",SAR
125,2.5,4,All Wheel Drive,58,7.0,Petrol,188,251,Automatic,210,5 Seater,7.5,4.550,1.840,1.675,2.700,506,Mazda CX-5 2021 2.5L GT (AWD),"120,120",SAR
126,2.7,4,Rear Wheel Drive,65,10.8,Petrol,164,250,Automatic,170,8 Seater,11.7,4.735,1.830,1.795,2.750,184,Toyota Innova 2021 2.7L STD,"99,733",SAR
127,2.8,4,Rear Wheel Drive,55,10.8,Diesel,174,360,Automatic,170,8 Seater,11.7,4.735,1.830,1.795,2.750,184,Toyota Innova 2021 2.8T STD Diesel ,"108,613",SAR
128,1.6,4,Front Wheel Drive,52,7.2,Petrol,123,160,Automatic,180,5 Seater,12.5,4.160,1.810,1.670,2.560,348,Changan CS35 2021 1.6L Full Option (2WD),"64,389",SAR
129,1.6,4,Front Wheel Drive,50,6.6,Petrol,115,156,Automatic,180,5 Seater,13.2,4.632,1.814,1.443,2.711,503,Renault Megane 2021 1.6L SE,"67,100",SAR
130,3.0,6,Rear Wheel Drive,70,13.1,Petrol,215,285,Automatic,182,5 Seater,9.2,4.785,1.815,1.800,2.800,131,Mitsubishi Montero Sport 2021 3.0L GLX (2WD) mid,"121,275",SAR
131,1.6,4,Front Wheel Drive,47,5.8,Petrol,115,156,Automatic,180,5 Seater,12.5,4.175,1.775,1.610,2.500,375,Suzuki Vitara 2021 1.6L GLX 2WD,"76,786",SAR
132,1.6,N/A,Front Wheel Drive,47,5.8,Petrol,115,156,Automatic,180,5 Seater,12.5,4.175,1.775,1.610,2.500,375,Suzuki Vitara 2021 1.6L GLX 2WD Plus,"82,561",SAR
133,1.5,4,Front Wheel Drive,56,6.7,Petrol,170,275,Automatic,200,5 Seater,9.2,4.630,1.839,1.661,2.725,838,GMC Terrain 2021 1.5T SLE (FWD),"105,683",SAR
134,1.5,4,Front Wheel Drive,56,6.7,Petrol,170,275,Automatic,200,5 Seater,9.2,4.630,1.839,1.661,2.725,838,GMC Terrain 2021 1.5T SLE (FWD),"105,683",SAR
135,1.5,4,Front Wheel Drive,56,5.4,Petrol,198,260,Automatic,195,5 Seater,7.5,4.890,1.860,1.450,2.830,473,Honda Accord 2021 1.5T LX,"115,385",SAR
